brine,outfall_dist_m,rise_min_ppt,rise_max_ppt,rise_avg_ppt,recirc_risk
RO concentrate,600,0.022,0.096,0.052,No
RO concentrate,800,0.009,0.033,0.019,No
RO concentrate,1000,0.004,0.015,0.008,No
RO concentrate,1200,0.002,0.007,0.004,No
RO concentrate,1400,0.001,0.004,0.002,No
Saturated cavern brine,600,0.515,2.233,1.207,Yes
Saturated cavern brine,800,0.209,0.759,0.437,Yes
Saturated cavern brine,1000,0.1,0.342,0.198,Yes
Saturated cavern brine,1200,0.053,0.173,0.101,Yes
Saturated cavern brine,1400,0.029,0.092,0.054,No
