z_over_D,dilution
8.046062657256808,2.8345022676202563
8.10275270612359,2.8474275982214374
8.159701261666317,2.860411868333739
8.216909502676202,2.8734553467213804
8.274378613319767,2.886558303374148
8.332109783163338,2.899721009512981
8.390104207197675,2.912943737595587
8.448363085862711,2.9262267613220816
8.506887625072393,2.9395703556406536
8.565679036239649,2.952974796753256
8.624738536301455,2.9664403621213244
8.684067347744042,2.979967330471517
8.743666698628184,2.9935559818014896
8.803537822614622,3.007206597385687
8.86368195898961,3.0209194597811626
8.92410035269055,3.0346948528334368
8.984794254331778,3.048533061682362
9.045764920230441,3.0624343727680303
9.107013612432509,3.0763990738367024
9.168541598738889,3.090427453946761
9.23035015273168,3.1045198034746964
9.292440553800521,3.1186764141211203
9.354814087169089,3.1328975789167925
9.41747204392169,3.147183592228701
9.480415721029988,3.161534749766144
9.543646421379858,3.175951348586858
9.607165453798341,3.1904336871031593
9.670974133080751,3.2049820650881298
9.735073780017878,3.2195967836818182
9.799465721423337,3.2342781453974645
9.864151290161026,3.2490264541277796
9.929131825172716,3.263842015151223
9.994408671505774,3.278725135138323
10.059983180340993,3.2936761221580295
10.125856709020571,3.3086952856840846
10.1920306210762,3.3237829366014338
10.258506286257292,3.3389393872126587
10.325285080559334,3.3541649512444414
10.392368386252373,3.36945994385406
10.459757591909622,3.38482468163591
10.527454092436201,3.400259482628056
10.595459289098024,3.4157646663188213
10.663774589550787,3.4313405536533943
10.73240140786912,3.4469874670404757
10.801341164575849,3.4627057303589543
10.870595286671401,3.4784956689646
10.940165207663346,3.4943576096968134
11.010052367596073,3.5102918808853807
11.080258213080583,3.526298812357274
11.15078419732445,3.542378735443476
11.221631780161891,3.5585319829858424
11.292802428083988,3.5747588893439888
11.364297614269043,3.5910597904022077
11.436118818613075,3.6074350235764348
11.508267527760443,3.623884927821214
11.580745235134636,3.640409843636727
11.653553440969162,3.6570101130758386
11.72669365233863,3.6736860797511746
11.80016738318992,3.690438088842236
11.873976154373542,3.7072664871025447
11.9481214936751,3.724171622866822
12.022604935846928,3.741153846058188
12.09742802263985,3.7582135081954284
12.1725923028351,3.7753509624002395
12.248099332276384,3.7925665634045713
12.323950673902068,3.809860667557938
12.400147897777554,3.8272336328348167
12.476692581127757,3.84468581884205
12.553586308369773,3.8622175868262874
12.630830671145656,3.8798292996814623
12.708427268355383,3.897521321956315
12.786377706189933,3.9152940198619146
12.864683598164554,3.933147761279273
12.943346565152138,3.9510829157669245
13.022368235416797,3.969099854568604
13.101750244647546,3.987198950620913
