time_h,rise_intake_ppt,rise_outfall_ppt
0.0,0.0,0.7151742197005007
0.06944444444444445,0.0,0.7151742197005007
0.1388888888888889,0.0,0.7151742197005007
0.20833333333333334,9.166001291305292e-13,0.7151742197005007
0.2777777777777778,1.8754775510387844e-10,0.7151742197005007
0.3472222222222222,4.62211602325624e-09,0.7151742197005007
0.4166666666666667,4.1320966204239085e-08,0.7151742197005007
0.4861111111111111,2.0537829215072634e-07,0.7151742197005007
0.5555555555555556,7.012413192342137e-07,0.7151742197005007
0.625,1.853021792896925e-06,0.7151742197005007
0.6944444444444444,4.076615304882125e-06,0.7151742197005007
0.7638888888888888,7.829552529869943e-06,0.7151742197005007
0.8333333333333334,1.3558600755914085e-05,0.7151742197005007
0.9027777777777778,2.1658253423595397e-05,0.7151742197005007
0.9722222222222222,3.2444837408718286e-05,0.7151742197005007
1.0416666666666667,4.6145305681477566e-05,0.7151742197005007
1.1111111111111112,6.289724040442479e-05,0.7151742197005007
1.1805555555555556,8.275614477071258e-05,0.7151742197005007
1.25,0.00010570667885900775,0.7151742197005007
1.3194444444444444,0.0001316753897668832,0.7151742197005007
1.3888888888888888,0.000160543338232344,0.7151742197005007
1.4583333333333333,0.0001921576971923855,0.7151742197005007
1.5277777777777777,0.0002263418741250689,0.7151742197005007
1.5972222222222223,0.00026290401771689176,0.7151742197005007
1.6666666666666667,0.00030164395308673875,0.7151742197005007
1.7361111111111112,0.0003423586875754836,0.7151742197005007
1.8055555555555556,0.0003848466716647181,0.7151742197005007
1.875,0.00042891100813591265,0.7151742197005007
1.9444444444444444,0.0004743617935645261,0.7151742197005007
2.013888888888889,0.0005210177569026087,0.7151742197005007
2.0833333333333335,0.0005687073381182017,0.7151742197005007
2.1527777777777777,0.0006172693272930019,0.7151742197005007
2.2222222222222223,0.000666553163803485,0.7151742197005007
2.2916666666666665,0.0007164189771557972,0.7151742197005007
2.361111111111111,0.0007667374347946065,0.7151742197005007
2.4305555555555554,0.0008173894492671252,0.7151742197005007
2.5,0.0008682657862522092,0.7151742197005007
2.5694444444444446,0.0009192666055852783,0.7151742197005007
2.638888888888889,0.0009703009605459556,0.7151742197005007
2.7083333333333335,0.0010212862746925566,0.7151742197005007
2.7777777777777777,0.001072147810859292,0.7151742197005007
2.8472222222222223,0.0011228181432514361,0.7151742197005007
2.9166666666666665,0.0011732366406533856,0.7151742197005007
2.986111111111111,0.0012233489665476327,0.7151742197005007
3.0555555555555554,0.0012731066000313263,0.7151742197005007
3.125,0.001322466380173637,0.7151742197005007
3.1944444444444446,0.0013713900752136965,0.7151742197005007
3.263888888888889,0.001419843977494395,0.7151742197005007
3.3333333333333335,0.0014677985239828217,0.7151742197005007
3.4027777777777777,0.001515227942299191,0.7151742197005007
3.4722222222222223,0.0015621099213163347,0.7151742197005007
3.5416666666666665,0.0016084253056334319,0.7151742197005007
3.611111111111111,0.0016541578127302614,0.7151742197005007
3.6805555555555554,0.0016992937717077439,0.7151742197005007
