time_h,model_m,synthetic_ref_m
0.0,1.114884393696465,1.1672010819316136
0.34465276746765083,1.1195253565491434,1.1301846691085942
0.6899287768294562,1.0886578871161943,1.083806035368191
1.034581544297105,1.0219119739842055,1.0639329547987904
1.3798575536589104,0.9173482532398771,0.8988896349952488
1.724510321126559,0.7776588714019257,0.7101355170173913
2.0697863304883644,0.6124978094161552,0.6099390260475729
2.41506233985017,0.42390970500449215,0.3724770650389059
2.7597151073178185,0.218338694013281,0.1967488350507195
3.104991116679624,0.001161864536421123,0.016047292377193573
3.4496438841472727,-0.22133510772085915,-0.21328182005071
3.794919893509078,-0.4409813217735703,-0.38632497024989904
4.140195902870883,-0.6521063085637325,-0.6731346246127466
4.484848670338533,-0.8465967929037885,-0.9248619923837784
4.830124679700337,-1.0201311631158707,-1.0707776606436152
5.174777447167987,-1.1649489539178504,-1.2250233019812584
5.520053456529792,-1.2787918880911606,-1.3530807321913136
5.864706223997443,-1.3563440620510188,-1.3660562554914215
6.209982233359248,-1.3963871153064777,-1.4501241511312168
6.55525824272105,-1.3975361295025197,-1.5045817647600503
6.899911010188702,-1.3604992145562174,-1.3598322867225732
7.2451870195505075,-1.2867678871815207,-1.3169603076734193
7.589839787018156,-1.1777475795313808,-1.1870290399879069
7.935115796379962,-1.0357247294498289,-1.052210362250826
8.280391805741766,-0.8633608979008901,-0.8553619264929729
8.625044573209415,-0.6662415680486625,-0.6780456495290144
8.97032058257122,-0.44987266240005713,-0.4094220163089298
9.31497335003887,-0.2191986181282483,-0.20658327889172426
9.660249359400675,0.01659926270248098,0.03261395289206674
10.004902126868323,0.2521666783724174,0.273604688647168
10.350178136230129,0.4800713360875743,0.431407253106577
10.695454145591935,0.6938719497891062,0.7011639587127394
11.040106913059583,0.8879563426068391,0.895342809876996
11.385382922421389,1.056449966201494,1.0858808343719433
11.730035689889037,1.1885609941309923,1.1579844474417604
12.075311699250843,1.2890737752254888,1.380219841805715
12.420587708612649,1.3517420182425368,1.3829524051736488
12.765240476080297,1.3793545114133827,1.3584889000156235
13.110516485442103,1.3614757093523964,1.3203497449962909
