easting_m,max_seabed_salinity_psu
12.5,36.5
37.5,36.50010026772481
62.5,36.50020058164896
87.5,36.50030106394827
112.5,36.500402016209776
137.5,36.500504093162625
162.5,36.50060861212022
187.5,36.50071806997569
212.5,36.500836964567554
237.5,36.50097301036285
262.5,36.50113819190837
287.5,36.50134815514018
312.5,36.5016226602104
337.5,36.50199145732092
362.5,36.50250995155431
387.5,36.503297429918504
412.5,36.504601243208974
437.5,36.5068302227624
462.5,36.51046447454788
487.5,36.51602004719348
512.5,36.52340793656163
537.5,36.53237771499236
562.5,36.54277755860891
587.5,36.554351825039696
612.5,36.5666693353053
637.5,36.579456371829636
662.5,36.592582709750296
687.5,36.60623744841218
712.5,36.620327423645456
737.5,36.63448774217842
762.5,36.64875245765338
787.5,36.663075610645414
812.5,36.6775611928301
837.5,36.69222324838783
862.5,36.70723534731791
887.5,36.72332959033353
912.5,36.74044282578576
937.5,36.75865899289838
962.5,36.778419436326665
987.5,36.80032359057967
1012.5,36.86232379663749
1037.5,37.04580699934082
1062.5,37.29447392127343
1087.5,37.6226498614127
1112.5,38.05836206055611
1137.5,38.678915538624956
1162.5,39.65602189352227
1187.5,41.74526225404806
1212.5,42.90610942667516
1237.5,43.34764244669668
1262.5,43.34537410023952
1287.5,43.05949505298017
1312.5,42.6155336980626
1337.5,42.110130746995594
1362.5,41.461249925007145
1387.5,40.54312317701353
1412.5,38.058655498421295
1437.5,37.29127818737791
1462.5,36.97649506013315
1487.5,36.78573819928892
1512.5,36.66970317510924
1537.5,36.63882791460164
1562.5,36.6168901796935
1587.5,36.59900114171422
1612.5,36.58343495794101
1637.5,36.56930001239038
1662.5,36.556807919580294
1687.5,36.54552641524278
1712.5,36.53905483533748
1737.5,36.532161723386444
1762.5,36.52707190790422
1787.5,36.52219777258879
1812.5,36.51774629321933
1837.5,36.51480885678127
1862.5,36.51275797042716
1887.5,36.51068899793101
1912.5,36.50801492788767
1937.5,36.506095259721874
1962.5,36.504980054749055
1987.5,36.50405721278106
2012.5,36.50304869130992
2037.5,36.50215725343201
2062.5,36.5015126900087
2087.5,36.501052932480356
2112.5,36.50073060406398
2137.5,36.500505766164295
2162.5,36.500349665226295
2187.5,36.500241658020585
2212.5,36.50016705584909
2237.5,36.50011552442097
2262.5,36.50007986630821
2287.5,36.50005510191644
2312.5,36.50003778464642
2337.5,36.50002548839595
2362.5,36.500016590694585
2387.5,36.50001155636671
2412.5,36.50000963174546
2437.5,36.500007964730365
2462.5,36.500004858058965
2487.5,36.5
